bookid:START_ID(Book),cityid:END_ID(City)
0,1607
0,2187
0,7625
0,329
0,7290
0,7603
1,328
1,2187
1,5707
1,107
1,6091
1,621
1,7328
1,1619
1,5830
1,7624
2,2187
2,1001
2,329
2,6987
2,1192
2,5539
2,7032
3,2187
3,284
3,5363
3,6093
3,6091
3,4702
3,6823
3,78
3,6418
3,1140
4,2187
4,6094
4,6987
5,426
5,6140
5,318
5,985
5,1504
5,7032
5,238
5,1027
5,720
5,2187
5,1140
5,6987
5,4947
5,5537
5,1505
6,7418
6,1539
6,7328
6,6987
6,4964
6,2906
6,5539
7,2187
7,7289
7,1539
7,7317
7,1886
7,2906
7,7344
7,5539
7,5583
8,2187
8,1001
8,1140
8,6987
8,329
8,1192
8,2554
9,2187
9,7287
9,720
9,7328
9,6987
9,94
9,78
9,5845
9,6646
10,7368
10,318
10,4451
10,5393
10,5583
10,5628
10,1849
10,1935
10,2109
10,7616
11,2187
11,1708
11,6091
11,985
11,5042
11,4444
11,7032
11,6096
11,1849
11,1739
12,1935
12,720
12,6987
12,7032
13,4926
13,2187
13,4459
13,7368
13,329
13,5830
13,1830
13,6682
13,43
13,720
14,426
14,5707
14,1749
14,6091
14,621
14,470
14,985
14,109
14,240
14,2029
14,1072
14,5042
14,4469
14,37
14,1935
14,6090
14,623
14,1535
14,1733
14,4511
14,4404
14,6823
14,7032
14,2030
14,1085
14,1352
14,94
14,5845
14,5784
14,7368
14,4702
14,5782
14,4451
14,4352
14,1001
14,6050
14,4467
14,5709
14,7569
15,6987
15,329
15,2906
15,7552
15,6438
15,5845
15,5539
15,3092
15,1659
16,2187
16,7289
16,1539
16,720
16,6987
16,4964
16,2906
16,7395
16,5539
17,281
17,4373
17,5830
17,318
17,985
17,6682
17,4537
17,7308
17,5632
17,4308
17,4347
17,1935
17,1849
17,4310
17,4350
17,7631
17,4072
17,4300
17,4467
18,7338
18,6091
18,6987
18,1262
18,56
18,7552
18,985
18,5845
18,7308
19,5707
19,5363
19,6091
19,318
19,6089
19,985
19,6682
19,2435
19,2030
19,2187
19,6987
19,6028
19,7344
19,1192
19,767
19,113
20,2187
20,6093
20,2423
20,7328
20,5830
20,2091
20,6682
20,2435
20,7032
20,5316
20,5550
20,5366
20,6091
20,1957
20,1788
20,7552
20,985
20,7308
20,1707
20,1791
20,1877
20,1849
20,1761
20,1935
20,6090
20,6987
20,7378
20,1799
20,93
20,1881
20,1664
20,7344
20,7392
20,1879
20,4467
22,2187
22,1678
22,6093
22,329
22,1788
23,5707
23,6091
23,281
23,4373
23,985
24,6091
24,1814
24,985
24,1767
24,7308
25,318
25,2435
25,344
25,7032
25,2030
26,2187
26,6091
26,329
26,56
26,7032
27,2187
27,1677
27,1780
27,6090
28,2187
28,1849
28,1680
28,6987
29,2187
29,6094
29,329
29,7304
30,2187
30,6093
30,6090
30,1733
31,1677
31,6414
31,720
31,5830
31,2906
31,5010
31,985
31,6438
31,1942
32,2187
32,7625
32,6093
32,6091
33,3678
33,318
33,1788
33,985
33,2435
34,1749
34,1935
34,1811
34,1140
35,2187
35,1001
35,6090
35,4964
36,2187
36,6094
36,1140
36,329
37,5707
37,6091
37,4415
37,985
38,2187
38,1935
38,4414
38,5830
39,1935
39,6090
39,7310
40,6093
40,7328
40,5830
40,329
41,2187
41,1001
41,7063
41,6987
42,2187
42,1001
42,7325
42,6987
43,2187
43,1849
43,1001
43,6987
44,2187
44,5707
44,1849
44,7338
45,5830
45,318
45,1788
45,6089
46,2187
46,5830
46,6987
46,318
47,1671
47,2187
47,4733
47,1140
48,2187
48,1140
48,329
48,56
48,5583
49,2187
49,5707
49,6094
49,6093
50,2187
50,6093
50,7625
50,6091
51,7624
51,7552
51,7032
52,7338
51,2436
51,1849
51,6091
53,5628
53,4733
53,2187
53,2436
54,720
54,1539
54,6091
54,5830
55,2187
55,720
55,6091
55,7325
56,2187
56,4318
56,4702
56,318
57,1140
57,7325
57,7296
57,1861
58,1001
58,1936
58,93
58,7290
59,2187
59,5628
59,329
60,2187
60,1935
60,1140
60,329
61,2187
61,1795
61,6093
61,6090
62,1670
62,6094
62,6987
62,7032
63,2187
63,6094
63,6093
63,6091
64,2187
64,329
64,318
64,7561
65,329
65,6987
65,7032
66,2187
66,6091
66,1913
66,7368
67,2187
67,5707
67,6091
67,6987
67,2029
68,2187
68,6090
68,6091
68,7378
69,5628
69,1935
69,1001
69,7317
70,1140
70,6093
70,6987
70,329
71,5707
71,1116
71,6091
71,7328
72,39
72,1027
72,2187
72,6093
73,2187
73,5707
73,1749
73,284
74,2030
74,6091
74,6987
74,1660
75,2187
75,6090
75,720
75,4367
76,6091
76,318
76,985
76,1711
77,1027
77,6094
77,6987
78,5548
78,6091
78,4692
79,2187
79,5707
79,6093
80,7418
80,2187
80,6090
81,2187
81,7328
81,4702
82,318
82,7308
82,7032
83,2187
83,1001
83,4154
84,6091
84,7310
84,2147
85,2187
85,6093
85,329
86,5830
86,6823
86,318
87,1749
87,6091
87,1666
88,224
88,5924
88,1666
89,4941
89,6987
90,2187
90,6091
90,6987
90,1788
92,5860
92,2436
92,6091
93,2187
93,6987
94,3678
94,2187
94,1935
95,2187
95,1935
95,7285
96,1935
96,720
96,329
97,2187
97,6093
97,1140
98,621
98,4702
98,5830
99,5628
99,2187
99,6094
100,2187
100,284
100,720
101,5860
100,7625
100,470
102,2187
102,329
102,6987
103,1935
103,1680
103,6093
104,2187
104,621
104,6091
105,2187
105,284
105,5363
106,2187
106,2436
106,2422
107,2187
107,329
107,318
108,2187
108,4414
108,5537
108,2554
109,2187
109,5328
109,1001
110,2187
110,1539
110,329
111,2187
110,1811
110,1140
