bookid:ID(Book),title,author
0,"White Queen of the Cannibals: The Story of Mary Slessor","A. J. Bueltmann"
1,"The Father of British Canada: A Chronicle of Carleton","William Wood"
2,"The Secret of the Tower","Hope, Anthony"
3,"The Divine Office","Rev. E. J. Quigley"
4,"Gunman's Reckoning","Max Brand"
5,"Moorish Literature","Anonymous"
6,"Punchinello, Vol. II., Issue 31, October 29, 1870","Various"
7,"Punchinello Vol. II., No. 30, October 22, 1870","Various"
8,"The Trojan women of Euripides","Euripides"
9,"The Healing of Nations and the Hidden Sources of Their Strife","Edward Carpenter"
10,"How Jerusalem Was Won Being the Record of Allenby's Campaign in Palestine","W.T. Massey"
11,"Towards The Goal","Mrs. Humphry Ward"
12,"A Little Boy Lost","Hudson, W. H."
13,"The Czar's Spy The Mystery of a Silent Love","William Le Queux"
14,"The Great Events by Famous Historians, Vol. 8 The Later Renaissance: From Gutenberg To The Reformation","Editor-in-Chief: Rossiter Johnson"
15,"Punchinello, Vol. II., No. 33, November 12, 1870","Various"
16,"Punchinello, Vol. II., No. 34, November 19, 1870","Various"
17,"With British Guns in Italy A Tribute to Italian Achievement","Hugh Dalton"
18,"American Political Ideas Viewed From The Standpoint Of Universal History","John Fiske"
19,"The Folk-lore of Plants","T. F. Thiselton-Dyer"
20,"Adonais","Shelley"
21,"England of My Heart--Spring","Edward Hutton"
22,"The Best Letters of Charles Lamb","Charles Lamb"
23,"The Great Events by Famous Historians, Vol. 17","Charles Francis Horne"
24,"Excellent Women","Various"
25,"Books for Children The Works of Charles and Mary Lamb, Vol. 3","Charles and Mary Lamb"
26,"Required Poems for Reading and Memorizing Third and Fourth Grades, Prescribed by State Courses of Study","Anonymous"
27,"The Sowers","Henry Seton Merriman"
28,"The Vigil of Venus and Other Poems by 'Q' (AKA: Sir Arthur Thomas Quiller-Couch)","Q"
29,"Maezli A Story of the Swiss Valleys","Johanna Spyri"
30,"Punch, Volume 153, July 11, 1917 Or the London Charivari.","Various"
31,"Punchinello, Vol. II., No. 35, November 26, 1870","Various"
32,"England and the War","Walter Raleigh"
33,"English Poets of the Eighteenth Century","Selected and Edited with an Introduction by Ernest Bernbaum"
34,"Dio's Rome, Vol. III An Historical Narrative Originally Composed In Greek During The Reigns Of Septimius Severus, Geta And Caracalla, Macrinus, Elagabalus And Alexander Severus","Cassius Dio"
35,"Mohammedanism Lectures on Its Origin, Its Religious and Political Growth, and Its Present State","C. Snouck Hurgronje"
36,"The Desert of Wheat","Zane Grey"
37,"Maria Mitchell: Life, Letters, and Journals","Maria Mitchell"
38,"Wolves of the Sea Being a Tale of the Colonies From the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft 'Namur'","Randall Parrish"
39,"At Whispering Pine Lodge","Lawrence J. Leslie"
40,"Peck's Bad Boy at the Circus","George W. Peck"
41,"The Everlasting Whisper","Jackson Gregory"
42,"Introduction to the Philosophy and Writings of Plato","Thomas Taylor"
43,"Poems","Marietta Holley"
44,"The Land Of Little Rain","Mary Hunter Austin"
45,"The Poetical Works of William Wordsworth Volume 1 of 8","(Edited by William Knight)"
46,"The Pilgrims of New England A Tale Of The Early American Settlers","Mrs. J. B. Webb"
47,"Their Crimes","Various"
48,"Beautiful Joe An Autobiography of a Dog","by Marshall Saunders"
49,"Old Creole Days","George Washington Cable"
50,"The Glands Regulating Personality","Louis Berman, M.D."
51,"The Outdoor Chums The First Tour of the Rod, Gun and Camera Club","Captain Quincy Allen"
52,"Patty at Home","Carolyn Wells"
53,"In The Fourth Year Anticipations of a World Peace (1918)","H.G. Wells"
54,"Punchinello, Vol. 2, No. 36, December 3, 1870","Various"
55,"Verse and Prose for Beginners in Reading Selected from English and American Literature","Horace Elisha Scudder, editor"
56,"Sonnets","Michael Angelo Buonarroti & Tommaso Campanella"
57,"Betty Gordon at Boarding School The Treasure of Indian Chasm","Alice Emerson"
58,"Dave Darrin's Third Year at Annapolis Leaders of the Second Class Midshipmen","H. Irving Hancock"
59,"Dotty Dimple at Play","Sophie May"
60,"Dragon's blood","Henry Milner Rideout"
61,"Miss Prudence A Story of Two Girls' Lives.","Jennie Maria (Drinkwater) Conklin"
62,"Bull Hunter","Max Brand"
63,"Alias The Lone Wolf","Louis Joseph Vance"
64,"Poems","Walter R. Cassels"
65,"Snubby Nose and Tippy Toes","Laura Rountree Smith"
66,"The Mirror of Literature, Amusement, and Instruction Volume XII., No. 324, July 26, 1828","Various"
67,"The Mirror of Literature, Amusement, and Instruction Volume XII. F, No. 325, August 2, 1828.","Various"
68,"Children's Rights and Others Nora Smith","Kate Douglas Smith Wiggin"
69,"With the Turks in Palestine","Alexander Aaronsohn"
70,"Dab Kinzer A Story of a Growing Boy","William O. Stoddard"
71,"The Great Events by Famous Historians, Vol. 21 The Recent Days (1910-1914)","Charles F. Horne, Editor"
72,"The Velvet Glove","Henry Seton Merriman"
73,"The Works of Samuel Johnson, Vol. 6 Reviews, Political Tracts, and Lives of Eminent Persons","Samuel Johnson"
74,"The Works of Samuel Johnson, Vol. 11. Parlimentary Debates II.","Samuel Johnson"
75,"The Bravo","J. Fenimore Cooper"
76,"Poems","Sir John Carr"
77,"The Vizier of the Two-Horned Alexander","Frank R. Stockton"
78,"Memoir and Diary of John Yeardley, Minister of the Gospel","John Yeardley"
79,"Sustained honor The Age of Liberty Established","John R. Musick,"
80,"The Cinema Murder","E. Phillips Oppenheim"
81,"Bunch Grass A Chronicle of Life on a Cattle Ranch","Horace Annesley Vachell"
82,"England's Antiphon","George MacDonald"
83,"American Indian stories","Zitkala-Sa"
84,"Autobiography","John Stuart Mill"
85,"At Love's Cost","Charles Garvice"
86,"Bible Stories and Religious Classics","Philip P. Wells"
87,"The History of a Crime The Testimony of an Eye-Witness","Victor Hugo"
88,"Memoir of William Watts McNair","J. E. Howard"
89,"The Maternal Management of Children, in Health and Disease.","Thomas Bull, M.D."
90,"Thoughts On The Necessity Of Improving The Condition Of The Slaves In The British Colonies With A View To Their Ultimate Emancipation; And On The Practicability, The Safety, And The Advantages Of The Latter Measure.","Thomas Clarkson"
91,"Northern Trails, Book I.","William J. Long"
92,"The Reminiscences Of Sir Henry Hawkins (Baron Brampton)","Henry Hawkins Brampton"
93,"Making the House a Home","Edgar A. Guest"
94,"Stolen Treasure","Howard Pyle"
95,"Joy & Power","Henry van Dyke"
96,"Andy the Acrobat","Peter T. Harkness"
97,"Personal Memoir Of Daniel Drayton For Four Years And Four Months A Prisoner (For Charity's Sake) In Washington Jail","Daniel Drayton"
98,"The Crisis of the Naval War","John Rushworth Jellicoe"
99,"The Powers and Maxine","Charles Norris Williamson"
100,"Love, Life & Work Being a Book of Opinions Reasonably Good-Natured Concerning How to Attain the Highest Happiness for One's Self with the Least Possible Harm to Others","Elbert Hubbard"
101,"Life Of Johnson, Volume 5","Boswell"
102,"Peter's Mother","Mrs. Henry De La Pasture"
103,"A Practical Physiology","Albert F. Blaisdell"
104,"Tales for Young and Old","Various"
105,"A Golden Book of Venice","Mrs. Lawrence Turnbull"
106,"The Celtic Twilight","W. B. Yeats"
107,"When Day is Done","Edgar A. Guest"
108,"A Child's Anti-Slavery Book Containing a Few Words About American Slave Children and Stories of Slave-Life.","Various"
109,"Arthurian Chronicles: Roman de Brut","Wace"
110,"The Lost Naval Papers","Bennet Copplestone"
111,"The Young Mother Management of Children in Regard to Health","William A. Alcott"
112,"Short Stories Old and New","Selected and Edited by C. Alphonso Smith"
113,"An English Garner Critical Essays & Literary Fragments _Religion_ in the Title: of which in particular I have spoken very little. Neither need I! considering how nearly it depends, as to its glory and strength, upon the reputation and mouth of the Priest.","Arber and Thomas Seccombe"
114,"The Golden Legend","Henry Wadsworth Longfellow"
115,"Practice Book","Leland Powers"
116,"Bits About Home Matters","Helen Hunt Jackson"
117,"Government and Rebellion","E. E. Adams"
118,"Poems","John Hay"
119,"Mercy Philbrick's Choice","Helen Hunt Jackson"
120,"Alcestis","Euripides"
121,"Norwegian Life","Ethlyn T. Clough"
122,"Punchinello, Volume 2, No. 37, December 10, 1870","Various"
123,"The Sea Lions The Lost Sealers","James Fenimore Cooper"
124,"So Runs the World","Henryk Sienkiewicz,"
125,"A Select Collection of Old English Plays, Vol. IX","Various"
126,"Johnny Crow's Party","L. Leslie Brooke"
127,"The Last of the Foresters","John Esten Cooke"
128,"Fine Feathers Ship's Company, Part 1.","W.W. Jacobs"
129,"Friends In Need Ship's Company, Part 2.","W.W. Jacobs"
130,"Good Intentions Ship's Company, Part 3.","W.W. Jacobs"
131,"Fairy Gold Ship's Company, Part 4.","W.W. Jacobs"
132,"Watch-Dogs Ship's Company, Part 5.","W.W. Jacobs"
133,"The Bequest Ship's Company, Part 6.","W.W. Jacobs"
134,"The Guardian Angel Ship's Company, Part 7.","W.W. Jacobs"
135,"Dual Control Ship's Company, Part 8.","W.W. Jacobs"
136,"Skilled Assistance Ship's Company, Part 9.","W.W. Jacobs"
