cityid:ID(City),name,lat,lng
1607,Mojo,8.58679,39.12111
2187,God,47.68324,19.13417
7625,Robertson,-33.80342,19.88537
329,Come,6.40764,1.88198
7290,Wright,30.45575,-86.63829
7603,Dundee,-28.16678,30.23371
328,Cove,7.22097,2.34017
5707,Mexico,15.0646,120.7198
107,Forster,-32.18136,152.51715
6091,Louis,-21.28585,55.41124
621,Dartmouth,44.67134,-63.57719
7328,Jefferson,38.86456,-77.18776
1619,Genet,9.06667,38.5
5830,Bay,14.18368,121.28554
7624,Wellington,-33.63981,19.0112
1001,Since,9.24391,-75.14675
6987,Of,40.94055,40.25918
1192,Much,50.90383,7.40306
5539,Best,51.5075,5.39028
7032,Can,40.03328,27.05236
284,Leo,11.10033,-2.10654
5363,Ora,7.43383,3.28788
6093,Joseph,-21.37839,55.61918
4702,Date,42.46806,140.86806
6823,Carthage,36.86108,10.33161
78,Vienna,48.20849,16.37208
6418,Fili,55.74819,37.47969
1140,Most,50.50301,13.63617
6094,Suzanne,-20.90614,55.60886
426,Toledo,-24.71361,-53.74306
6140,Nis,43.32472,21.90333
318,Save,8.03424,2.4866
985,La,27.82511,99.70779
1504,Baza,37.49073,-2.77259
238,Rode,50.74645,4.35754
1027,Madrid,4.73245,-74.26419
720,Man,7.41251,-7.55383
4947,Ogre,56.8162,24.61401
5537,Borne,52.30136,6.7482
1505,Baeza,37.99384,-3.47103
7418,Magna,40.70911,-112.10161
1539,Salt,41.97489,2.79281
4964,Sale,34.0531,-6.79846
2906,Pen,18.73734,73.09603
7289,Westchester,25.75482,-80.32727
7317,Lebanon,36.20811,-86.2911
1886,Dorking,51.23228,-0.3338
7344,Montgomery,41.73058,-88.3459
5583,Adam,22.3756,57.52334
2554,Than,22.57422,71.19942
7287,Ruskin,27.72086,-82.43315
94,Orange,-33.28397,149.10018
5845,Asia,9.5506,122.5164
6646,Berber,18.02158,33.98299
7368,Somerset,40.4976,-74.48849
4451,Gallipoli,40.05594,17.99088
5393,Dukku,10.82379,10.77221
5628,Victoria,14.2277,121.3292
1849,Spring,54.84034,-1.46427
1935,Sea,50.85023,0.47095
2109,Palin,14.40556,-90.69833
7616,Bethlehem,-28.23078,28.30707
1708,Lens,50.43302,2.82791
5042,San,13.30335,-4.89562
4444,Gorizia,45.94088,13.62167
6096,Benoit,-21.03801,55.71937
1739,Marne,48.7695,2.4793
4926,Hatton,6.8916,80.5955
4459,Frascati,41.8091,12.67942
1830,Moreton,53.4,-3.11667
6682,Waterloo,8.3389,-13.07091
43,Vera,-29.4593,-60.21261
